arg_id,prev_arg_id,Argument,Concern1,Concern2,Concern3,Concern4
Depth3_11,Depth2_1,"This entirely depends on the industry and type of job. For a job that requires a degree, work ethics and experience will not be enough.",job,,,
Depth3_21,Depth2_1,A degree is important not only only for the better job perspectives but also for self confidence. The employer would hire someone with the High job ethics and experience AND the academic knowledge will  ,job,,,
Depth3_31,Depth2_1,With a degree you are able to expand on this work experience and if you have the opportunity to study for a degree and further your education you will stand a better chance when competing for jobs,job,,,
Depth3_12,Depth2_11,In other countries (like Germany) universities are free but the taxes are not necessarily much higher.,tax,free,,
Depth3_22,Depth2_11,More likely to get jobs that earn decent wages and start contributing via Tax and ni,tax,job,,
Depth3_32,Depth2_11,"In Scotland, tertiary education is free, and nobody complains about how it is funded. ",free,,,
Depth3_13,Depth2_17,The student loan interest rates are quite high and students end up repaying much more than they initially borrowed. ,loan,interest,,
Depth3_23,Depth2_17,"It's ridiculous to saddle young people with lifelong debt because they want to be educated. Education should not see employment (and the ability to repay a loan) as the end goal, but rather as a human right. ",loan,debt,,
Depth3_33,Depth2_17,"Even with this, students can be naive and misspend the maintenance loans given to them. Wasting government resources that could be spent elsewhere, where it would be more efficiently spent.",government,loan,,
Depth3_14,Depth2_29,"Every job is becoming more and more specialized, further education does not produce only doctors and engineers, it also trains minds",job,,,
Depth3_24,Depth2_29,But why should somebody's background stop them from pursuing any career. A poor person can be just as good a medic as a rich person. ,background,,,
Depth3_15,Depth2_39,"Of course Universities need financial support too, it is a Government affair and support. When individuals decide to go to University, they hope to get high paid jobs,",government,job,,
Depth3_25,Depth2_39,The prospect of having to pay back a loan once a certain level of income is reached may put young people off applying for jobs which will lead to a well paid career. ,loan,job,,
Depth3_16,Depth2_2,Taking out a loan is not something that students should have to do to go to university as there is no guarantee they will be able to pay it off afterwards.,loan,,,
Depth3_26,Depth2_2,Burdening students with a large amount of debt is bad for personal finances across the country and bad for the economy in the long term.,debt,,,
Depth3_34,Depth2_12,the problem is that there isn't an equal opportunity to finance education through student loans. Those in less fortunate financial situations will still be far less inclined to take out loans.,loan,,,
Depth3_41,Depth2_12,There is equal opportunity but not always equal ability. Those from less privileged backgrounds might not be educated to know about funding or their parents might not be able to complete the application forms to get the students the means based funding.,background,,,
Depth3_51,Depth2_12,Many teenagers whose parents did not go to uni and never took a loan might be talked out by their parents,loan,,,
Depth3_35,Depth2_18,Students who have only just become legal adults should not have to take out a loan or get themselves into debt just to go to university as it is likely that at that age they will not understand the consequences of a loan.,loan,debt,,
