arg_id,prev_arg_id,Argument,Concern1,Concern2,Concern3,Concern4
Depth4_1,Depth3_11,"So if someone wants to pursue a career where a degree is necessary, he or she should be willing to invest into their future by taking a loan. Jobs that require a degree offer a decent salary that should make the repayment of the loan not too high of burden.",loan,job,career,
Depth4_3,Depth3_11,"You are right, it depends on the industry. However, too many people with degrees go into jobs that would benefit from more practical and less academic knowledge. Instead of lowering university fees, I think the UK should invest in schemes and people to gain practical knowledge.",job,,,
Depth4_7,Depth3_11,"That's true but if a degree is completely needed and a person don't have the money to get one, they can get a scholarship",scholarship,,,
Depth4_15,Depth3_12,The money would be raised by taxes and not everybody that is a tax payer has been to university so it is not fair to make tax payers pay for university fees.,tax,,,
Depth4_16,Depth3_12,"I lived in Germany and Austria. Both countries offer free university education. If you add up the taxes and social security contributions, the cost to the individual is significantly higher than in the UK.",free,tax,,
Depth4_19,Depth3_12,"Sure, but free for the best only, and the career path does not necessarily begins with a degree but you can be successful by learning a profession. Also there is a strong connection with the industries who will co-finance the degree of their future employees. ",free,career,,
Depth4_27,Depth3_13,this is an investment into the future that the student was willing to take. Not everything in life is for free,free,,,
Depth4_29,Depth3_13,"You are right, the interest rates are increasing to a level I feel uncomfortable with. Instead of lowering the university fees, maybe the government could invest so that the interest rates stay low or even 0%.",interest,government,,
Depth4_32,Depth3_13,"Being a loan it's normal they will pay the interest. The loan is an opportunity not an obligation. The brightest will manage to get a tuition fee waiver or even a scholarship. This also helps selection, and make sure the brightest will have the best chance to get a degree.",loan,scholarship,interest,
Depth4_35,Depth3_13,"The importance here, though, is that the banks take care of the incapability of some students that can't afford university fees. They overcome this problem through a loan, which with a good program of their economics can solve in few years.",loan,afford,,
Depth4_40,Depth3_14,"Yes and if someone wants to pursue a career where further education is necessary, he or she should be willing to invest into it",career,,,
Depth4_44,Depth3_14,"People go to the university to get a higher jobs in the specific fields, the rest qualifications can be easily gained at colleges",job,,,
Depth4_52,Depth3_14,3 years at university is no replacement for work experience. A mind will be trained best on the job and in the relevant industry. ,job,,,
Depth4_57,Depth3_15,"Universities cannot rely on the government, on the example of primary school, which are supposed to be supported by the state, however very struggling and asking for parents financial involvement ",government,,,
Depth4_61,Depth3_15,A student loan make their decision easier about going to a university or not and only those who are really determined to work hard and dedicate to their lessons will be willing to use that Government support.,loan,government,,
Depth4_62,Depth3_15,"Exactly, people hope to get a high paying job with a university degree, thus it is an investment. If that investment is successful they have the financial means to repay the loan, and if not, they won't have to pay the loan back themselves.",loan,job,,
Depth4_66,Depth3_16,"If someone studies a degree which is in ""demand"" they should have no problem of finding a job and repaying the loan afterwards. If someone wants to study art history, it is their own risk and they should have to pay/take a loan",loan,job,,
Depth4_77,Depth3_16,Without having to pay the loan back unless you meet a certain threshold and the loan defaulting after a certain time period it is unlikely that even financially stricken students will struggle post degree. ,loan,,,
Depth4_78,Depth3_16,University is not a right. Most people fall into university because they think they have too. Going to university should be an important decision and taking a loan should be part of this. ,loan,,,
Depth4_79,Depth3_21,The job market is extremely competitive and a degree gives you an advantage for most jobs.,job,,,
Depth4_84,Depth3_21,the fact that someone has academic knowledge does not mean that he has ethics too. as far as the knowledge is concerned it can be obtained through work experience in many jobs that do not require a degree. ,job,,,
Depth4_88,Depth3_21,"Often a degree takes to long to finish and companies may want someone that doesn't have the academic knowledge but has more work ethics and experience and for the first year on the job, it may be more valuable in the early run.",job,,,
Depth4_92,Depth3_22,"Government should already be giving scholarships. And the money that the students pay should go to the university so they can buy everything that a student needs like better material, quality food, etc. A degree is not necessary to get a good job.",job,government,scholarship,
Depth4_95,Depth3_22,"Government is on the edge of their financial abilities, they are struggling to support primary education ",government,,,
Depth4_96,Depth3_22,Sure but then why not to take a loan and pay back individually instead of putting this burden to the shoulders of the entire society? If taxes are higher people want them to be used for improving the healthcare system or infrastructure.,loan,tax,,
Depth4_102,Depth3_23,"It's true that should be a human right, and I don't agree that they need to get lifelong debt in order to study. The government should offer them scholarships. But at least they still get an option at the moment, although things should get changed.",scholarship,government,debt,
Depth4_104,Depth3_23,then the government will increase the taxes that you and i will pay in order to get everyone educated.,tax,government,,
Depth4_108,Depth3_23,"Loans are there to make students have a goal in mind, that nothing worth doing is free and so that after they achieve their goal they value it and respect it instead of slacking on their education.",loan,free,,
Depth4_109,Depth3_24,A poor person can get a student loan which they can afford to pay back when they become a medic.,loan,afford,,
Depth4_110,Depth3_24,There are careers and jobs these days that pay more and don't require a degree but just work experience.,job,career,,
Depth4_115,Depth3_24,"If they really feel to be a doctor or other profession is what they want, they should fight for it. Taking loan it is one of the steps to get closer to the dream and also talented people can get scholarships too",loan,scholarship,,
Depth4_116,Depth3_24,"If talented there are possibilities to get financial support from the university or government funds. If least talented but still willing to become a doctor, the loan is always an option.",loan,government,,
Depth4_120,Depth3_25,A young person would not hold back from a good job and good salary just because they need to payback a loan.,loan,job,,
Depth4_123,Depth3_25,If your earning a higher income then having to pay back a student loan won't affect you. ,loan,,,
Depth4_126,Depth3_25,"It's difficult to imagine that once obtaining a degree financed from loans, one will go for lower paid jobs just to avoid to pay back the amount. ",loan,job,,
Depth4_132,Depth3_26,That's why the government should start giving scholarships to people who really can't pay university fees but still want to get a degree.,scholarship,government,,
Depth4_134,Depth3_26,"if we agree to stop student loans and get everyone educated this burdens every other citizen through taxes
the difference is that the student makes a choice on the loan but the citizen does not",loan,tax,,
Depth4_136,Depth3_26,"As for the person it's a decision with consequences for a better career. As for the economy, loans are usually good for the economy and it also motivates the student to get a high paid job to pay back the loan as soon as possible.",loan,job,career,
Depth4_138,Depth3_26,"It gives them an objective to accomplish, it gives value to their degree and future career, getting free education is good and necessary in some cases but that also gives people the option to slack off and reduce their chances of getting a proper work ethic.",free,career,,
Depth4_139,Depth3_31,But a person should only get a degree if he really wants it and likes it and not because he wants a better job,job,,,
Depth4_142,Depth3_31,Lots of graduates have never worked before and have none of skills that employers are looking for because of this. There are too many graduates in the job market now so employers are no longer interested,job,,,
Depth4_149,Depth3_32,"I still agree the government should give scholarships to students who can't pay for university. With or without a fund, that is what defines whether the taxes will be enforced or not. ",scholarship,tax,government,
Depth4_152,Depth3_32,"People are already complaining about their tax levels now, they would rather they were increased in a way they could actually see the benefits like school education, community support.",tax,,,
Depth4_160,Depth3_33,Yeah but we need to help to young children and it is a business if we help them with the financially problems they will payed back if they have got a job,job,,,
Depth4_161,Depth3_33,But that's another concern. The government has to stay alert and check if the loans are well levered.,loan,government,,
Depth4_162,Depth3_33,"Students may be careless with their money but that is how most young people learn how to manage their money, either in at uni or in their first jobs. The way the loan is paid back is an additional tax for something you chose to do",loan,job,tax,
Depth4_172,Depth3_34,"Greater awareness should be given to all students on what having these loans means, that it is a different type of debt that doesn't count against you.",loan,debt,,
Depth4_176,Depth3_34,government is responsible to asses the students circumstances and come up with the education loans,loan,government,,
Depth4_177,Depth3_34,"Students that are really determined to get in a university can work and build the required financial background that is needed to take the loan. In this way, they will notice if they are willing to do everything for their future.",loan,background,,
Depth4_181,Depth3_35,"Asking for a loan to study is not motivated, it's putting a person in debt when he doesn't have the money.",loan,debt,,
Depth4_186,Depth3_35,if they are educated they have the responsibility and can earn alongside repay the loan,loan,,,
Depth4_192,Depth3_36,They still can attend university now. If the fees were removed they still wouldn't go as they can't afford maintenance fees and instead would start working.,afford,,,
Depth4_196,Depth3_36,taxes are recovered from all in society which is what goes back to equally loft up the social needs based on who is in need of it,tax,,,
Depth4_197,Depth3_36,"Sure but not everyone is cut out to go to a university, there are a lot of existing jobs and not everyone is good at one thing. There is diversification and that is what makes this world go on.",job,,,
Depth4_201,Depth3_41,If everyone has equal opportunity to go to university then the majority of people will go. If there are fees in place then this will limit the number of people to those who feel a university degree would benefit their future career.,career,,,
Depth4_203,Depth3_41,"They all go to school and get equal knowledge and opportunities, it is got nothing to do with the family background. Whilst at high school, student get all the information they need to go further",background,,,
Depth4_212,Depth3_42,"A stakeholder interested in studying should not have a loan for it, because she knows she may not pay for the future work.",loan,,,
Depth4_215,Depth3_42,"These low paid jobs will be only for a while, until they pay off the loan. Also, people learn things and gain different experiences from everything. In this way, they will learn how to be patient and persistent and also dedicated to their actual dreams.",loan,job,,
Depth4_217,Depth3_42,"In my opinion, thanks to loans, the future master will actively seek work to pay off his debt",loan,debt,,
Depth4_220,Depth3_43,But the economy will always be balanced this way. The government helps the ones who can't pay (the government would have to ensure they can't pay or have really high difficulties in paying) and those who can pay will have more income anyway to place into the economy.,government,,,
Depth4_223,Depth3_43,University was never free and was always a high privilege to attend it so it should stay the same. There is an opportunity to take a loan and it is even better deal now as before the current scheme did not exist and ,loan,free,,
Depth4_226,Depth3_43,In the past it was much harder to get into a university and we didn't have so many universities. Paying back the debt also goes into the economy. ,debt,,,
Depth4_235,Depth3_44,"That's why there is a student loan, a government support for this difficulty which students will have to pay off afterwards, when they will have a job and are independent.",loan,job,government,
Depth4_236,Depth3_44,People should analyze their financial situation first before getting a loan. If they drop out they only paid 1 semester so the loan is even smaller. Other option is to find a part time job to get extra income.,loan,job,,
Depth4_238,Depth3_44,education loan gives plenty of time to student to repay the loan amount and students are allowed to work and study,loan,,,
Depth4_245,Depth3_45,"But there are a lot of jobs that they can apply for in order to pay off the student loan. But the degree is an extra qualification, which is a serious plus to his CV and he will have more opportunities.",loan,job,,
Depth4_251,Depth3_46,The loans provided from the government are designed to feature as a graduate tax. The government have to know they won't get the majority of the loans back. But a 'graduate tax' would be less popular with voters compared to 'student loans'.,loan,tax,government,
Depth4_253,Depth3_46,"At least government is getting some of the money back, it is better for the economy than completely free University education",free,government,,
Depth4_256,Depth3_46,"It would be better to make good grades and advancement semester by semester a condition of additional loans, making sure the worthy will get it and will have chances for better pay job and pay back.",loan,job,,
Depth4_267,Depth3_51,But the loan also offers them the opportunity to do what their parents did not.,loan,,,
Depth4_268,Depth3_51,"If they never went they may talk their kids out of it too whether there is a loan or not. Most parents are supportive regardless of the loans, it is not the loan that makes them not see the point in university",loan,,,
Depth4_269,Depth3_52,"If a student is talented enough there are plenty of scholarships or foundations to help them. If not, they still can work and collect the amount.",scholarship,,,
Depth4_271,Depth3_52,"Well, you cannot expect everything to be free, work hard, get a well paid job and you will not even feel that amount going out for repayment",free,job,,
Depth4_273,Depth3_52,"A student that is willing to take that loan, is really willing to study hard and appreciates the value of the degree, in contrary with the one that got there easily, without thinking the importance of studying.",loan,,,
Depth4_279,Depth3_53,The government should step out then and leave it to the banks to take the risk. Anyway with higher taxes and cheap education there would be plenty of educated unemployed to pay by the Government.,tax,government,,
Depth4_287,Depth3_53,"Higher taxes would negatively affect anyone who did not go to university unfairly, making society pay for students who refuse to pay back their loans.",loan,tax,,
Depth4_288,Depth3_53,"It is unfair to expect the whole of the country to pay for degrees without seeing the benefits, there are so many areas that need more funding that could cause the taxes to.increase that would offer more value than free university",free,tax,,
Depth4_290,Depth3_54,But if there are more people that go to the university it means they can afford it. ,afford,,,
Depth4_291,Depth3_54,"It is open and available for many, even for mature students. If you know want you want, taking loan will not stay on the way",loan,,,
